MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross,release_year,DIRECTOR,ACTORS,combined_features
O Vendedor de Sonhos,(2016),drama,5.8,A disillusioned psychologist tries to commit suicide until he strikes up a friendship with an unlikely savior who teaches him a new way of living.,"Directors: Jayme Monjardim, Luca Bueno | Stars: César Troncoso, Dan Stulbach, Dani Antunes, Nelson Baskeville",1191,98,0.0,2016,"Jayme Monjardim, Luca Bueno",César Troncoso Dan Stulbach Dani Antunes Nelson Baskeville,"o vendedor de sonhos drama a disillusioned psychologist tries to commit suicide until he strikes up a friendship with an unlikely savior who teaches him a new way of living. jayme monjardim, luca bueno césar troncoso dan stulbach dani antunes nelson baskeville"
Players,,comedy romance,0.0,"New York sportswriter Mack who spent years devising successful hook-up ""plays"" with best friend Adam and crew, unexpectedly falls for one of the targets and learns what it takes to go from simply scoring to playing for keeps.","Director: Trish Sie | Stars: Tom Ellis, Gina Rodriguez, Damon Wayans Jr., Joel Courtney",0,0,0.0,0,Trish Sie,Tom Ellis Gina Rodriguez Damon Wayans Jr. Joel Courtney,"players comedy romance new york sportswriter mack who spent years devising successful hook-up ""plays"" with best friend adam and crew, unexpectedly falls for one of the targets and learns what it takes to go from simply scoring to playing for keeps. trish sie tom ellis gina rodriguez damon wayans jr. joel courtney"
Into the Forest,(2015),drama thriller,5.8,"After a massive power outage, two sisters learn to survive on their own in their isolated woodland home.","Director: Patricia Rozema | Stars: Elliot Page, Evan Rachel Wood, Max Minghella, Callum Keith Rennie",19853,101,10000.0,2015,Patricia Rozema,Elliot Page Evan Rachel Wood Max Minghella Callum Keith Rennie,"into the forest drama thriller after a massive power outage, two sisters learn to survive on their own in their isolated woodland home. patricia rozema elliot page evan rachel wood max minghella callum keith rennie"
Somebody Feed Phil,(2018– ),documentary,8.3,Phil travels around the world sampling food and tradition with friends and a sense of humor.,"Stars: Phil Rosenthal, Monica Horan, Judy Gold, Julia Reed",3936,60,0.0,2018,,Phil Rosenthal Monica Horan Judy Gold Julia Reed,somebody feed phil documentary phil travels around the world sampling food and tradition with friends and a sense of humor. phil rosenthal monica horan judy gold julia reed
Smurfs: The Lost Village,(2017),animation adventure comedy,6.0,Annie the adventure She protected from citizens from a monsters from Ancient Greece.,"Director: Kelly Asbury | Stars: Demi Lovato, Rainn Wilson, Joe Manganiello, Jack McBrayer",19549,90,45020000.0,2017,Kelly Asbury,Demi Lovato Rainn Wilson Joe Manganiello Jack McBrayer,smurfs: the lost village animation adventure comedy annie the adventure she protected from citizens from a monsters from ancient greece. kelly asbury demi lovato rainn wilson joe manganiello jack mcbrayer
Wheelman,(2017),action crime thriller,6.4,A getaway driver for a bank robbery realizes he has been double crossed and races to find out who betrayed him.,"Director: Jeremy Rush | Stars: Frank Grillo, Caitlin Carmichael, Garret Dillahunt, Shea Whigham",18749,82,0.0,2017,Jeremy Rush,Frank Grillo Caitlin Carmichael Garret Dillahunt Shea Whigham,wheelman action crime thriller a getaway driver for a bank robbery realizes he has been double crossed and races to find out who betrayed him. jeremy rush frank grillo caitlin carmichael garret dillahunt shea whigham
Lethal Seduction,(2015),thriller,5.1,"High-school senior Mark has never minded his overprotective widowed mother Tanya and is a good son to her as he prepares to go off to Princeton in the fall. One day, he goes to a hardware ... See full summary »","Director: Nancy Leopardi | Stars: Caleb Ruminer, Amanda Detmer, Dina Meyer, Brian Thomas Smith",824,80,0.0,2015,Nancy Leopardi,Caleb Ruminer Amanda Detmer Dina Meyer Brian Thomas Smith,"lethal seduction thriller high-school senior mark has never minded his overprotective widowed mother tanya and is a good son to her as he prepares to go off to princeton in the fall. one day, he goes to a hardware ... see full summary » nancy leopardi caleb ruminer amanda detmer dina meyer brian thomas smith"
The Other Side of the Wind,(2018),drama,6.8,A Hollywood director emerges from semi-exile with plans to complete work on an innovative motion picture.,"Director: Orson Welles | Stars: John Huston, Oja Kodar, Peter Bogdanovich, Susan Strasberg",6717,122,0.0,2018,Orson Welles,John Huston Oja Kodar Peter Bogdanovich Susan Strasberg,the other side of the wind drama a hollywood director emerges from semi-exile with plans to complete work on an innovative motion picture. orson welles john huston oja kodar peter bogdanovich susan strasberg
The Indian Detective,(2017),comedy crime drama,6.5,A Toronto police officer investigates a murder while visiting his father in India.,"Stars: Russell Peters, Anupam Kher, Christina Cole, Mishqah Parthiephal",2906,44,0.0,2017,,Russell Peters Anupam Kher Christina Cole Mishqah Parthiephal,the indian detective comedy crime drama a toronto police officer investigates a murder while visiting his father in india. russell peters anupam kher christina cole mishqah parthiephal
El ministerio del tiempo,(2015– ),adventure comedy fantasy,8.2,"A warrior from the 16th Century, the first female university student from the 19th Century, and a paramedic from the 21st Century join a secret agency to prevent people from changing Spanish history using time-traveling doors.","Stars: Cayetana Guillén Cuervo, Juan Gea, Francesca Piñón, Jaime Blanch",4623,70,0.0,2015,,Cayetana Guillén Cuervo Juan Gea Francesca Piñón Jaime Blanch,"el ministerio del tiempo adventure comedy fantasy a warrior from the 16th century, the first female university student from the 19th century, and a paramedic from the 21st century join a secret agency to prevent people from changing spanish history using time-traveling doors. cayetana guillén cuervo juan gea francesca piñón jaime blanch"
She's Gotta Have It,(2017–2019),comedy,6.8,The story of one woman and her three lovers. TV series based on the film by Spike Lee.,"Stars: DeWanda Wise, Anthony Ramos, Lyriq Bent, Cleo Anthony",4322,30,0.0,2017,,DeWanda Wise Anthony Ramos Lyriq Bent Cleo Anthony,she's gotta have it comedy the story of one woman and her three lovers. tv series based on the film by spike lee. dewanda wise anthony ramos lyriq bent cleo anthony
Girlboss,(2017),comedy,7.0,"Sophia, a misfit, discovers a passion for fashion, becoming an unlikely businesswoman in the process. As her business grows, however, she has to learn to cope with life as her own boss. This show is loosely based on the true story of Nasty Gal Founder, Sophia Amoruso.","Stars: Britt Robertson, Ellie Reed, Johnny Simmons, Alphonso McAuley",16285,26,0.0,2017,,Britt Robertson Ellie Reed Johnny Simmons Alphonso McAuley,"girlboss comedy sophia, a misfit, discovers a passion for fashion, becoming an unlikely businesswoman in the process. as her business grows, however, she has to learn to cope with life as her own boss. this show is loosely based on the true story of nasty gal founder, sophia amoruso. britt robertson ellie reed johnny simmons alphonso mcauley"
Kon-Tiki,(2012),adventure biography drama,7.2,"Legendary explorer Thor Heyerdahl's epic 4,300-mile crossing of the Pacific on a balsawood raft in 1947, in an effort to prove that it was possible for South Americans to settle in Polynesia in pre-Columbian times.","Directors: Joachim Rønning, Espen Sandberg | Stars: Pål Sverre Hagen, Anders Baasmo Christiansen, Gustaf Skarsgård, Odd-Magnus Williamson",47166,118,1520000.0,2012,"Joachim Rønning, Espen Sandberg",Pål Sverre Hagen Anders Baasmo Christiansen Gustaf Skarsgård Odd-Magnus Williamson,"kon-tiki adventure biography drama legendary explorer thor heyerdahl's epic 4,300-mile crossing of the pacific on a balsawood raft in 1947, in an effort to prove that it was possible for south americans to settle in polynesia in pre-columbian times. joachim rønning, espen sandberg pål sverre hagen anders baasmo christiansen gustaf skarsgård odd-magnus williamson"
Next Gen,(I) (2018),animation action adventure,6.6,"A friendship with a top-secret robot turns a lonely girl's life into a thrilling adventure as they take on bullies, evil bots and a scheming madman.","Directors: Kevin R. Adams, Joe Ksander, Ricardo Curtis | Stars: John Krasinski, Charlyne Yi, Jason Sudeikis, Michael Peña",15524,106,0.0,2018,"Kevin R. Adams, Joe Ksander, Ricardo Curtis",John Krasinski Charlyne Yi Jason Sudeikis Michael Peña,"next gen animation action adventure a friendship with a top-secret robot turns a lonely girl's life into a thrilling adventure as they take on bullies, evil bots and a scheming madman. kevin r. adams, joe ksander, ricardo curtis john krasinski charlyne yi jason sudeikis michael peña"
Moesha,(1996–2001),comedy drama family,5.8,A teenager struggles to come to terms with everything life throws at her.,"Stars: Brandy Norwood, William Allen Young, Marcus T. Paulk, Lamont Bentley",3430,30,0.0,1996,,Brandy Norwood William Allen Young Marcus T. Paulk Lamont Bentley,moesha comedy drama family a teenager struggles to come to terms with everything life throws at her. brandy norwood william allen young marcus t. paulk lamont bentley
Unsolved,(2018– ),biography crime,7.9,A scripted true crime series based on the murder investigations of Tupac Shakur and Biggie Smalls.,"Stars: Josh Duhamel, Bokeem Woodbine, Wavyy Jonez, Marcc Rose",7032,60,0.0,2018,,Josh Duhamel Bokeem Woodbine Wavyy Jonez Marcc Rose,unsolved biography crime a scripted true crime series based on the murder investigations of tupac shakur and biggie smalls. josh duhamel bokeem woodbine wavyy jonez marcc rose
De nærmeste,(2015),drama,5.6,"Two half-siblings who grew up apart, meet for the first time as adults and fall in love.","Director: Anne Sewitsky | Stars: Ine Marie Wilmann, Simon J. Berger, Anneke von der Lippe, Silje Storstein",1192,106,0.0,2015,Anne Sewitsky,Ine Marie Wilmann Simon J. Berger Anneke von der Lippe Silje Storstein,"de nærmeste drama two half-siblings who grew up apart, meet for the first time as adults and fall in love. anne sewitsky ine marie wilmann simon j. berger anneke von der lippe silje storstein"
Arifureta Shokugyou de Sekai Saikyou,(2019– ),animation action adventure,7.0,"Seventeen-year-old Hajime Nagumo is your average, everyday otaku. However, his simple life of pulling all-nighters and sleeping in school is suddenly turned upside down when he, along with ... See full summary »","Stars: Tia Lynn Ballard, Matt Shipman, AmaLee, Patrick Seitz",1613,23,0.0,2019,,Tia Lynn Ballard Matt Shipman AmaLee Patrick Seitz,"arifureta shokugyou de sekai saikyou animation action adventure seventeen-year-old hajime nagumo is your average, everyday otaku. however, his simple life of pulling all-nighters and sleeping in school is suddenly turned upside down when he, along with ... see full summary » tia lynn ballard matt shipman amalee patrick seitz"
Under the Shadow,(2016),drama fantasy horror,6.9,"As a mother and daughter struggle to cope with the terrors of the post-revolution, war-torn Tehran of the 1980s, a mysterious evil begins to haunt their home.","Director: Babak Anvari | Stars: Narges Rashidi, Avin Manshadi, Bobby Naderi, Arash Marandi",25632,84,30000.0,2016,Babak Anvari,Narges Rashidi Avin Manshadi Bobby Naderi Arash Marandi,"under the shadow drama fantasy horror as a mother and daughter struggle to cope with the terrors of the post-revolution, war-torn tehran of the 1980s, a mysterious evil begins to haunt their home. babak anvari narges rashidi avin manshadi bobby naderi arash marandi"
Satsuriku no Tenshi,(2018),animation adventure horror,6.4,"13-year old Rachel awakens to find herself trapped in the basement of an unfamiliar building. Upon meeting a serial killer wrapped in bandages, she begs him to kill her. As his only wish is... See full summary »","Stars: Haruka Chisuga, Meg McClain, Dallas Reid, Derick Snow",1411,24,0.0,2018,,Haruka Chisuga Meg McClain Dallas Reid Derick Snow,"satsuriku no tenshi animation adventure horror 13-year old rachel awakens to find herself trapped in the basement of an unfamiliar building. upon meeting a serial killer wrapped in bandages, she begs him to kill her. as his only wish is... see full summary » haruka chisuga meg mcclain dallas reid derick snow"
